consonant,transliteration,example_1,token_1,example_2,token_2,meaning_1,meaning_2,name,token_name,message
ক,ka,কাক,token_crow_1,কলম,token_pen_1,crow,pen,ক,token_k_1,
খ,kha,খাট,token_cot_2,খাবার,token_food_2,cot,food,খ,token_kh_2,
গ,ga,গরু,token_cow_3,গান,token_song_3,cow,song,গ,token_g_3,
ঘ,gha,ঘর,token_house_4,ঘাস,token_grass_4,house,grass,ঘ,token_gh_4,
ঙ,nga,ব্যাঙ,token_frog_5,রঙ,token_color_5,frog,color,ঙ,token_ng_5,
চ,cha,চাঁদ,token_moon_6,চাল,token_rice_6,moon,rice,চ,token_ch_6,
ছ,chha,ছাতা,token_umbrella_7,ছাগল,token_goat_7,umbrella,goat,ছ,token_chh_7,
জ,ja,জল,token_water_8,জীবন,token_life_8,water,life,বর্গীয় জ,token_j_8,
ঝ,jha,ঝরনা,token_stream_9,ঝাল,token_spicy_9,stream,spicy,ঝ,token_jh_9,
ঞ,nya,,,,,,,ঞ,,Rarely Used
ট,ṭta,টিয়া,token_parrot_11,টক,token_sour_11,parrot,sour,ট,token__11,
ঠ,ṭtha,ঠান্ডা,token_cold_12,ঠেলাগাড়ি,token_push cart_12,cold,push cart,ঠ,token_h_12,
ড,ḍda,ডাল,token_lentil_13,ডাক,token_letter_13,lentil,letter,ড,token__13,
ঢ,ḍdhha,ঢাক,token_drum_14,ঢাল,token_shield_14,drum,shield,ঢ,token_h_14,
ণ,ṇa,প্রণাম,token_salute_15,বাণী,token_saying_15,salute,saying,মূর্ধন্য ণ,token__15,
ত,ta,তাল,token_palm_16,তীর,token_arrow_16,palm,arrow,ত,token_t_16,
থ,tha,থালা,token_plate_17,থানা,token_police station_17,plate,police station,থ,token_th_17,
দ,da,দেওয়া,token_given_18,দাঁত,token_teeth_18,given,teeth,দ,token_d_18,
ধ,dha,ধন,token_wealth_19,ধনুক,token_patient_19,wealth,patient,ধ,token_dh_19,
ন,na,নদী,token_river_20,নাক,token_nose_20,river,nose,দন্ত ন,token_n_20,
প,pa,পান,token_betel leaf_21,পাখি,token_bird_21,betel leaf,bird,প,token_p_21,
ফ,pha,ফল,token_fruit_22,ফুল,token_flower_22,fruit,flower,ফ,token_ph_22,
ব,ba,বল,token_strength_23,বন,token_jungle_23,strength,jungle,ব,token_b_23,
ভ,bha,ভাল,token_good_24,ভাষা,token_language_24,good,language,ভ,token_bh_24,
ম,ma,মাছ,token_fish_25,মাঠ,token_field_25,fish,field,ম,token_m_25,
য,ja,যাত্রা,token_journey_26,যমুনা,token_yamuna river_26,journey,yamuna river,অন্তঃস্থ য,token_y_26,
র,ra,রথ,token_chariot_27,রাম,token_lord_rama_27,chariot,lord rama,ব-য়ে শূন্য র,token_r_27,
ল,la,লাল,token_red_28,লতা,token_vine_28,red,vine,ল,token_l_28,
শ,sha,শরীর,token_body_29,শিশু,token_child_29,body,child,তালব্য শ,token_sh_29,
ষ,ṣhha,ষোল,token_sixteen_30,ষাঁড়,token_six_30,sixteen,ox,পেট কাটা মূর্ধন্য ষ,token__30,
স,sa,সাগর,token_sea_31,সাপ,token_snake_31,sea,snake,দন্ত স,token_s_31,
হ,ha,হাওয়া,token_air_32,হিম,token_cool_32,air,cool,হ,token_h_32,
ড়,ṛ,বাড়ি,token_star_33,বড়,token_loss_33,house,big,ড-য়ে শূন্য র,token__33,
ঢ়,ṛh,গাঢ়,token_trip_34,আষাঢ়,token_state_34,deep,third moth of calender,ঢ-য়ে শূন্য র,token_h_34,
য়,ẏ,নয়,token_knowledge_35,টিয়া,token_wise_35,nine,parrot,অন্তস্থ অ,token__35,
ং,ṁ,চিংড়ি,token_noise_36,বাংলা,token_stick_36,shrimp,bengali,অনুস্বর,token__36,
ঃ,ḥ,দুঃখ,token_upward_37,বাঃ,token_corner_37,sadness,wow,বিসর্গ,token__37,
ঁ,ṁ,চাঁদ,token_god_38,পাঁচ,token_path_38,moon,five,চন্দ্রবিন্দু,token__38,
